Course.Title,Course.Number,Student.Enrollment,A,B,C,D,F,W,Avg.GPA,Subject,Links
Public Recreation,RST 217,225,66%,24%,7%,1%,1%,0%,3.5,RST,https://courses.illinois.edu/schedule/2018/fall/RST/217
Diversity in RST,RST 230,269,36%,41%,19%,1%,2%,0%,3.09,RST,https://courses.illinois.edu/schedule/2018/fall/RST/230
Nature and American Culture,RST 242,2802,66%,20%,6%,2%,4%,1%,3.44,RST,https://courses.illinois.edu/schedule/2018/fall/RST/242
Ethical Issues in RST,RST 255,430,47%,37%,10%,2%,3%,1%,3.23,RST,https://courses.illinois.edu/schedule/2018/fall/RST/255
Leisure Programming,RST 300,710,65%,28%,5%,1%,1%,0%,3.56,RST,https://courses.illinois.edu/schedule/2018/fall/RST/300
Leisure and Human Development,RST 316,1060,46%,37%,11%,4%,2%,0%,3.21,RST,https://courses.illinois.edu/schedule/2018/fall/RST/316
Leisure Services Marketing,RST 325,979,47%,41%,9%,2%,1%,0%,3.29,RST,https://courses.illinois.edu/schedule/2018/fall/RST/325
Leisure and Consumer Culture,RST 335,1451,62%,29%,7%,1%,1%,0%,3.47,RST,https://courses.illinois.edu/schedule/2018/fall/RST/335
Facility Management in RST,RST 340,356,81%,16%,2%,1%,0%,0%,3.73,RST,https://courses.illinois.edu/schedule/2018/fall/RST/340
Legal Aspects of Sport,RST 354,680,27%,47%,22%,4%,0%,0%,2.94,RST,https://courses.illinois.edu/schedule/2018/fall/RST/354
Research Methods & Analysis,RST 370,822,56%,31%,9%,2%,1%,0%,3.34,RST,https://courses.illinois.edu/schedule/2018/fall/RST/370
Administration of Leisure Serv,RST 410,756,51%,30%,13%,3%,2%,0%,3.17,RST,https://courses.illinois.edu/schedule/2018/fall/RST/410
Contemporary Issues in RST,RST 429,335,37%,44%,13%,4%,2%,0%,3.07,RST,https://courses.illinois.edu/schedule/2018/fall/RST/429
HR Management in RST,RST 440,345,48%,34%,13%,3%,1%,1%,3.21,RST,https://courses.illinois.edu/schedule/2018/fall/RST/440
Orientation to Practicum,RST 480,727,63%,21%,9%,6%,1%,0%,3.36,RST,https://courses.illinois.edu/schedule/2018/fall/RST/480
Strat Branding: Global Persp,SBC 501,23,78%,22%,0%,0%,0%,0%,3.75,SBC,https://courses.illinois.edu/schedule/2018/fall/SBC/501
Viking Mythology,SCAN 251,880,46%,37%,11%,3%,2%,0%,3.2,SCAN,https://courses.illinois.edu/schedule/2018/fall/SCAN/251
Introduction to ISE,SE 100,301,91%,7%,0%,0%,2%,0%,3.82,SE,https://courses.illinois.edu/schedule/2018/fall/SE/100
Business Side of Engineering,SE 261,1356,42%,33%,16%,6%,3%,1%,3.04,SE,https://courses.illinois.edu/schedule/2018/fall/SE/261
Dsgn of Structures & Mechanism,SE 310,67,19%,67%,13%,0%,0%,0%,3.11,SE,https://courses.illinois.edu/schedule/2018/fall/SE/310
Engineering Law,SE 400,932,66%,31%,2%,1%,0%,0%,3.56,SE,https://courses.illinois.edu/schedule/2018/fall/SE/400
Comp-Aided Product Realization,SE 402,69,57%,42%,1%,0%,0%,0%,3.55,SE,https://courses.illinois.edu/schedule/2018/fall/SE/402
Component Design,SE 410,287,47%,38%,13%,1%,1%,0%,3.27,SE,https://courses.illinois.edu/schedule/2018/fall/SE/410
Digital Control Systems,SE 420,71,68%,20%,13%,0%,0%,0%,3.49,SE,https://courses.illinois.edu/schedule/2018/fall/SE/420
Decision Analysis I,SE 450,448,71%,26%,3%,0%,0%,0%,3.62,SE,https://courses.illinois.edu/schedule/2018/fall/SE/450
Senior Engineering Project II,SE 495,962,92%,7%,0%,0%,0%,0%,3.89,SE,https://courses.illinois.edu/schedule/2018/fall/SE/495
"Child, Comm, & Lang Ability",SHS 120,11175,65%,25%,7%,2%,1%,0%,3.5,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/120
American Sign Language I,SHS 121,1412,51%,31%,12%,3%,2%,0%,3.21,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/121
Hearing Processes & Disorders,SHS 150,1734,39%,35%,16%,4%,5%,1%,2.98,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/150
Intro Hum Comm Sys & Disorders,SHS 170,1916,50%,37%,10%,2%,1%,0%,3.3,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/170
American Sign Language II,SHS 221,694,53%,31%,12%,2%,1%,0%,3.27,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/221
Lang&Culture Deaf Communities,SHS 222,1921,62%,27%,7%,2%,1%,0%,3.46,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/222
Communication Neuroscience,SHS 280,340,53%,35%,10%,2%,1%,0%,3.32,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/280
Anat & Physiol Spch Mechanism,SHS 300,926,35%,41%,18%,5%,2%,0%,3,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/300
Development of Spoken Language,SHS 320,1240,62%,30%,7%,1%,0%,0%,3.52,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/320
American Sign Language III,SHS 321,638,38%,40%,15%,5%,2%,0%,3.05,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/321
Comm Partners & Health,SHS 375,818,89%,7%,2%,1%,1%,0%,3.82,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/375
Neurodev Disorders in Context,SHS 383,138,62%,33%,5%,0%,0%,0%,3.52,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/383
Lang Disorders Preschool Child,SHS 431,381,51%,45%,4%,0%,0%,0%,3.45,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/431
Intro Audiol & Hear Disorders,SHS 450,935,33%,37%,20%,7%,3%,0%,2.86,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/450
Aural Rehab Children to Adults,SHS 451,814,45%,39%,15%,1%,0%,0%,3.23,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/451
Neural Bases Spch Lang,SHS 470,202,66%,27%,5%,0%,0%,0%,3.58,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/470
Asst & Mgmt of Voice Disorders,SHS 511,45,62%,38%,0%,0%,0%,0%,3.64,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/511
Lang Disorders Schl-Age Child,SHS 532,164,89%,11%,0%,0%,0%,0%,3.86,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/532
Advanced Language Diagnostics,SHS 533,127,87%,13%,0%,0%,0%,0%,3.87,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/533
Aphasia and Related Disorders,SHS 534,157,82%,18%,0%,0%,0%,0%,3.74,SHS,https://courses.illinois.edu/schedule/2018/fall/SHS/534
Introduction to Sociology,SOC 100,8847,56%,32%,8%,2%,1%,0%,3.35,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/100
Sociology of Gender,SOC 101,186,22%,42%,22%,10%,3%,2%,2.64,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/101
Social Problems,SOC 163,70,70%,17%,6%,4%,3%,0%,3.43,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/163
Introduction to Poverty,SOC 196,45,44%,29%,13%,4%,7%,2%,2.96,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/196
Intro to Sociological Theory,SOC 200,1355,66%,24%,7%,1%,1%,0%,3.48,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/200
Race and Ethnicity,SOC 225,226,75%,14%,7%,1%,2%,0%,3.57,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/225
Population Issues,SOC 270,318,39%,37%,15%,5%,3%,1%,3.05,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/270
Criminology,SOC 275,828,71%,20%,5%,1%,1%,1%,3.53,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/275
Sociology of Deviance,SOC 310,570,50%,28%,13%,3%,5%,1%,3.07,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/310
Technology and Society,SOC 350,678,69%,21%,7%,2%,1%,0%,3.53,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/350
Social Research Methods,SOC 380,687,59%,29%,7%,2%,1%,1%,3.4,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/380
Sociology of Law,SOC 477,21,76%,24%,0%,0%,0%,0%,3.73,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/477
SOCW Orientation Seminar,SOCW 101,90,64%,24%,3%,2%,4%,1%,3.36,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/101
Introduction to Social Work,SOCW 200,1890,40%,42%,13%,2%,2%,1%,3.11,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/200
Intro Stat for Social Work,SOCW 225,110,27%,49%,17%,4%,3%,0%,2.94,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/225
Asian Families in America,SOCW 297,286,73%,24%,2%,0%,0%,0%,3.69,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/297
Diversity: Identities & Issues,SOCW 300,1191,57%,31%,9%,1%,1%,1%,3.4,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/300
Social Serv for Older Adults,SOCW 315,29,83%,14%,0%,0%,3%,0%,3.66,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/315
Social Entre & Social Change,SOCW 321,530,72%,23%,4%,0%,0%,1%,3.66,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/321
Social Work & Dis Studies,SOCW 380,78,82%,12%,1%,5%,0%,0%,3.65,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/380
Practice I,SOCW 401,374,80%,17%,1%,1%,1%,0%,3.73,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/401
Practice II,SOCW 402,229,69%,27%,1%,0%,1%,1%,3.63,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/402
Practice III,SOCW 403,305,63%,34%,2%,0%,1%,0%,3.6,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/403
Social Welfare Pol and Svcs,SOCW 410,921,80%,16%,3%,1%,0%,0%,3.73,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/410
Child Welfare Issues & Trends,SOCW 416,137,64%,24%,9%,3%,0%,1%,3.51,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/416
Subst Use in Social Context,SOCW 420,112,79%,20%,1%,0%,0%,1%,3.74,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/420
Social Work Research Methods,SOCW 427,889,67%,27%,4%,0%,1%,1%,3.56,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/427
HBSE I: Human Development,SOCW 451,805,80%,16%,3%,0%,1%,0%,3.73,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/451
Prof Practice Seminar I,SOCW 461,165,88%,12%,0%,0%,0%,0%,3.88,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/461
Trauma Informed SW w/ Children,SOCW 503,73,95%,5%,0%,0%,0%,0%,3.92,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/503
SW Practice with Child/Adol,SOCW 506,155,78%,21%,1%,0%,0%,0%,3.77,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/506
Adv Clin Assess & Interviewing,SOCW 509,212,79%,20%,0%,0%,0%,0%,3.75,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/509
Practice Evaluation,SOCW 532,240,92%,7%,2%,0%,0%,0%,3.89,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/532
Program Evaluation,SOCW 542,344,80%,19%,1%,1%,0%,0%,3.73,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/542
HBSE II: Mental Disorders,SOCW 552,624,75%,25%,0%,0%,0%,0%,3.72,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/552
Social Work and the Law,SOCW 589,996,68%,31%,1%,0%,0%,0%,3.63,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/589
Spanish in the Professions,SPAN 142,107,41%,36%,13%,10%,0%,0%,3.07,SPAN,https://courses.illinois.edu/schedule/2018/fall/SPAN/142
Spanish in the United States,SPAN 308,210,72%,23%,4%,0%,0%,0%,3.64,SPAN,https://courses.illinois.edu/schedule/2018/fall/SPAN/308
The Culture of Disability,SPED 117,5121,83%,12%,3%,1%,1%,0%,3.73,SPED,https://courses.illinois.edu/schedule/2018/fall/SPED/117
Gen Educator's Role in SPED,SPED 405,1655,80%,16%,2%,0%,0%,0%,3.76,SPED,https://courses.illinois.edu/schedule/2018/fall/SPED/405
Assessment in ECSE,SPED 414,127,87%,11%,0%,1%,0%,2%,3.86,SPED,https://courses.illinois.edu/schedule/2018/fall/SPED/414
Assistive Tech & Phys Disab,SPED 431,215,89%,9%,1%,0%,0%,0%,3.83,SPED,https://courses.illinois.edu/schedule/2018/fall/SPED/431
Curriculum and Methods in ECSE,SPED 465,108,77%,19%,2%,0%,1%,2%,3.74,SPED,https://courses.illinois.edu/schedule/2018/fall/SPED/465
Learning Environments II,SPED 471,182,91%,9%,0%,0%,0%,0%,3.89,SPED,https://courses.illinois.edu/schedule/2018/fall/SPED/471
Statistics,STAT 100,23474,60%,27%,10%,3%,1%,0%,3.39,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/100
Statistical Analysis,STAT 200,2971,62%,26%,8%,2%,2%,1%,3.45,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/200
Biostatistics,STAT 212,1307,61%,26%,8%,3%,1%,0%,3.42,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/212
Statistics Programming Methods,STAT 385,93,69%,25%,4%,1%,0%,1%,3.59,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/385
Statistics and Probability I,STAT 400,8412,42%,34%,15%,5%,3%,1%,3.06,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/400
Actuarial Statistics II,STAT 409,849,46%,32%,15%,5%,2%,0%,3.12,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/409
Statistics and Probability II,STAT 410,2584,46%,25%,15%,7%,5%,2%,2.97,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/410
Methods of Applied Statistics,STAT 420,2950,67%,23%,7%,2%,1%,0%,3.5,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/420
Applied Regression and Design,STAT 425,1566,60%,30%,6%,2%,1%,0%,3.45,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/425
Statistical Computing,STAT 428,520,63%,21%,8%,5%,2%,2%,3.35,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/428
Time Series Analysis,STAT 429,453,56%,34%,5%,1%,2%,1%,3.4,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/429
Basics of Statistical Learning,STAT 430,230,73%,21%,4%,0%,1%,0%,3.63,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/430
Statistical Data Management,STAT 440,1282,74%,20%,3%,1%,1%,0%,3.62,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/440
Professional Statistics,STAT 443,95,57%,38%,4%,1%,0%,0%,3.48,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/443
Advanced Data Analysis,STAT 448,1195,69%,24%,5%,1%,1%,1%,3.55,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/448
Mathematical Statistics I,STAT 510,609,71%,24%,5%,0%,0%,0%,3.64,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/510
Computational Statistics,STAT 525,215,92%,7%,1%,0%,0%,0%,3.88,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/525
Statistical Learning,STAT 542,537,88%,11%,1%,0%,0%,0%,3.82,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/542
Multivariate Analysis,STAT 571,286,87%,12%,0%,0%,0%,0%,3.83,STAT,https://courses.illinois.edu/schedule/2018/fall/STAT/571
Mechanics in the Modern World,TAM 195,402,61%,32%,2%,1%,3%,0%,3.43,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/195
Introduction to Statics,TAM 210,3145,27%,32%,22%,12%,6%,1%,2.62,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/210
Statics,TAM 211,4275,24%,31%,24%,13%,7%,1%,2.5,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/211
Introductory Dynamics,TAM 212,5319,27%,41%,21%,7%,3%,0%,2.82,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/212
Introductory Solid Mechanics,TAM 251,4717,34%,33%,20%,9%,3%,0%,2.86,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/251
Introductory Fluid Mechanics,TAM 335,3027,25%,38%,24%,7%,5%,1%,2.71,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/335
Intermediate Solid Mechanics,TAM 451,248,50%,35%,10%,2%,0%,2%,3.31,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/451
Cellular Biomechanics,TAM 461,72,86%,14%,0%,0%,0%,0%,3.81,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/461
Computational Mechanics,TAM 470,475,43%,32%,14%,5%,6%,0%,2.98,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/470
Turbulence,TAM 538,28,68%,29%,0%,0%,0%,4%,3.68,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/538
Mathematical Methods I,TAM 541,523,61%,31%,6%,2%,0%,0%,3.48,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/541
Solid Mechanics I,TAM 551,285,46%,41%,12%,0%,0%,0%,3.33,TAM,https://courses.illinois.edu/schedule/2018/fall/TAM/551
Intro to ILEE,TE 100,23,91%,9%,0%,0%,0%,0%,3.87,TE,https://courses.illinois.edu/schedule/2018/fall/TE/100
From Idea to Enterprise,TE 250,217,88%,11%,0%,0%,0%,0%,3.82,TE,https://courses.illinois.edu/schedule/2018/fall/TE/250
Lect in Engrg Entrepreneurship,TE 360,1427,75%,15%,6%,1%,2%,1%,3.62,TE,https://courses.illinois.edu/schedule/2018/fall/TE/360
"Startups:Inc,Fund,Contracts,IP",TE 450,56,73%,27%,0%,0%,0%,0%,3.66,TE,https://courses.illinois.edu/schedule/2018/fall/TE/450
Technology Entrepreneurship,TE 461,82,84%,13%,1%,0%,1%,0%,3.78,TE,https://courses.illinois.edu/schedule/2018/fall/TE/461
High-Tech Venture Marketing,TE 466,398,73%,21%,4%,1%,1%,0%,3.63,TE,https://courses.illinois.edu/schedule/2018/fall/TE/466
Venture Funded Startups,TE 567,73,96%,3%,1%,0%,0%,0%,3.93,TE,https://courses.illinois.edu/schedule/2018/fall/TE/567
Practicum I,THEA 100,1016,85%,9%,2%,0%,3%,1%,3.75,THEA,https://courses.illinois.edu/schedule/2018/fall/THEA/100
Introduction to Theatre Arts,THEA 101,14717,79%,14%,4%,1%,1%,0%,3.66,THEA,https://courses.illinois.edu/schedule/2018/fall/THEA/101
Text to Stage,THEA 102,294,86%,11%,2%,0%,1%,0%,3.79,THEA,https://courses.illinois.edu/schedule/2018/fall/THEA/102
Broadway Musicals,THEA 110,409,80%,15%,2%,2%,1%,0%,3.7,THEA,https://courses.illinois.edu/schedule/2018/fall/THEA/110
Fundamentals of Acting I,THEA 170,213,69%,24%,5%,1%,0%,0%,3.52,THEA,https://courses.illinois.edu/schedule/2018/fall/THEA/170
Script Analysis,THEA 208,332,74%,18%,5%,1%,0%,0%,3.64,THEA,https://courses.illinois.edu/schedule/2018/fall/THEA/208
History of Theatre I,THEA 360,267,17%,40%,27%,10%,5%,0%,2.52,THEA,https://courses.illinois.edu/schedule/2018/fall/THEA/360
Principles of Arts Management,THEA 452,26,50%,23%,19%,4%,4%,0%,3.01,THEA,https://courses.illinois.edu/schedule/2018/fall/THEA/452
Creative Project,THEA 595,159,76%,14%,7%,1%,1%,0%,3.61,THEA,https://courses.illinois.edu/schedule/2018/fall/THEA/595
Technical Systems in Agr,TSM 100,852,18%,37%,29%,10%,6%,1%,2.47,TSM,https://courses.illinois.edu/schedule/2018/fall/TSM/100
Materials and Construction Sys,TSM 232,307,30%,48%,17%,3%,1%,1%,3.02,TSM,https://courses.illinois.edu/schedule/2018/fall/TSM/232
Metallurgy & Welding Process,TSM 233,537,34%,42%,19%,2%,2%,1%,3.01,TSM,https://courses.illinois.edu/schedule/2018/fall/TSM/233
Humanity in the Food Web,TSM 311,1013,65%,26%,5%,2%,2%,1%,3.5,TSM,https://courses.illinois.edu/schedule/2018/fall/TSM/311
Land and Water Mgt Systems,TSM 352,179,47%,31%,12%,4%,4%,1%,3.11,TSM,https://courses.illinois.edu/schedule/2018/fall/TSM/352
Environ Control & HVAC Systems,TSM 372,310,31%,50%,15%,2%,1%,1%,3.11,TSM,https://courses.illinois.edu/schedule/2018/fall/TSM/372
Ag Health-Illnesses Prevention,TSM 422,334,61%,33%,4%,0%,2%,1%,3.54,TSM,https://courses.illinois.edu/schedule/2018/fall/TSM/422
Elec Computer Ctrl Sys,TSM 435,197,64%,25%,7%,0%,4%,0%,3.43,TSM,https://courses.illinois.edu/schedule/2018/fall/TSM/435
Renewable Energy Applications,TSM 438,226,36%,45%,15%,3%,0%,1%,3.16,TSM,https://courses.illinois.edu/schedule/2018/fall/TSM/438
Introduction to City Planning,UP 101,1575,63%,25%,7%,2%,3%,1%,3.4,UP,https://courses.illinois.edu/schedule/2018/fall/UP/101
Cities: Planning & Urban Life,UP 203,115,49%,43%,8%,0%,1%,0%,3.38,UP,https://courses.illinois.edu/schedule/2018/fall/UP/203
"Local Planning, Gov't and Law",UP 211,276,71%,22%,7%,1%,0%,0%,3.6,UP,https://courses.illinois.edu/schedule/2018/fall/UP/211
Communication for Planners,UP 312,329,44%,46%,6%,2%,1%,1%,3.3,UP,https://courses.illinois.edu/schedule/2018/fall/UP/312
The Modern American City,UP 330,87,55%,37%,8%,0%,0%,0%,3.43,UP,https://courses.illinois.edu/schedule/2018/fall/UP/330
Planning for Healthy Cities,UP 340,91,70%,27%,2%,0%,0%,0%,3.68,UP,https://courses.illinois.edu/schedule/2018/fall/UP/340
GIS for Planners,UP 418,592,69%,23%,7%,1%,1%,0%,3.56,UP,https://courses.illinois.edu/schedule/2018/fall/UP/418
Cmnty Dev in the Global South,UP 423,49,86%,14%,0%,0%,0%,0%,3.77,UP,https://courses.illinois.edu/schedule/2018/fall/UP/423
Disasters and Urban Planning,UP 438,155,37%,51%,10%,0%,1%,1%,3.25,UP,https://courses.illinois.edu/schedule/2018/fall/UP/438
Transportation/Land Use Policy,UP 460,25,76%,24%,0%,0%,0%,0%,3.68,UP,https://courses.illinois.edu/schedule/2018/fall/UP/460
Housing & Urban Policy,UP 473,23,96%,4%,0%,0%,0%,0%,3.93,UP,https://courses.illinois.edu/schedule/2018/fall/UP/473
Planning History and Theory,UP 501,184,64%,28%,7%,0%,1%,0%,3.53,UP,https://courses.illinois.edu/schedule/2018/fall/UP/501
Urban History and Theory,UP 504,238,77%,21%,2%,0%,0%,0%,3.73,UP,https://courses.illinois.edu/schedule/2018/fall/UP/504
Advanced Equine Anatomy,VCM 660,143,50%,38%,7%,5%,0%,0%,3.33,VCM,https://courses.illinois.edu/schedule/2018/fall/VCM/660
Structure and Function I,VM 602,1171,11%,47%,35%,6%,1%,0%,2.62,VM,https://courses.illinois.edu/schedule/2018/fall/VM/602
Pathobiology I,VM 605,1126,15%,45%,36%,4%,0%,0%,2.71,VM,https://courses.illinois.edu/schedule/2018/fall/VM/605
Pathobiology II,VM 607,884,13%,63%,23%,0%,0%,0%,2.89,VM,https://courses.illinois.edu/schedule/2018/fall/VM/607
Medicine and Surgery I,VM 609,964,14%,64%,22%,0%,0%,0%,2.91,VM,https://courses.illinois.edu/schedule/2018/fall/VM/609
Medicine and Surgery II,VM 610,960,12%,51%,35%,3%,0%,0%,2.71,VM,https://courses.illinois.edu/schedule/2018/fall/VM/610
Canine Feline Behavior,VM 620,208,81%,17%,1%,0%,0%,0%,3.79,VM,https://courses.illinois.edu/schedule/2018/fall/VM/620
Lit Responses to the Holocaust,YDSH 320,165,61%,29%,6%,2%,1%,1%,3.44,YDSH,https://courses.illinois.edu/schedule/2018/fall/YDSH/320
Intro to Asian Am Pop Culture,AAS 120,619,44%,40%,13%,3%,0%,1%,3.23,AAS,https://courses.illinois.edu/schedule/2018/fall/AAS/120
U.S. Race and Empire,AAS 200,21,81%,14%,5%,0%,0%,0%,3.71,AAS,https://courses.illinois.edu/schedule/2018/fall/AAS/200
US Citizenship Comparatively,AAS 215,87,43%,36%,11%,6%,3%,1%,3.02,AAS,https://courses.illinois.edu/schedule/2018/fall/AAS/215
ABE Principles: Biological,ABE 141,293,55%,34%,6%,2%,2%,0%,3.36,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/141
ABE Principles: Bioenvironment,ABE 225,229,41%,49%,7%,1%,2%,0%,3.27,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/225
ABE Principles: Bioprocessing,ABE 226,228,49%,36%,12%,2%,1%,0%,3.28,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/226
Engrg Measurement Systems,ABE 425,223,70%,26%,4%,0%,0%,0%,3.68,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/425
Biological Nanoengineering,ABE 446,22,86%,14%,0%,0%,0%,0%,3.7,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/446
Practical Problems in Atg,ACCY 398,620,96%,3%,2%,0%,0%,0%,3.95,ACCY,https://courses.illinois.edu/schedule/2018/fall/ACCY/398
Financial Statement Fraud,ACCY 518,80,96%,4%,0%,0%,0%,0%,3.97,ACCY,https://courses.illinois.edu/schedule/2018/fall/ACCY/518
Inc Tx Acctg & Multistate Tx,ACCY 555,133,53%,47%,0%,0%,0%,0%,3.54,ACCY,https://courses.illinois.edu/schedule/2018/fall/ACCY/555
